iter	Passed	Remaining
0	1	140
1	2	121
2	3	119
3	4	106
4	5	100
5	6	94
6	6	91
7	7	90
8	8	87
9	9	87
10	10	87
11	11	87
12	12	85
13	13	84
14	15	85
15	16	84
16	17	83
17	18	82
18	19	81
19	19	79
20	20	77
21	21	75
22	21	73
23	22	71
24	23	71
25	24	70
26	25	69
27	26	67
28	27	66
29	28	66
30	29	65
31	30	64
32	31	63
33	31	61
34	32	60
35	33	59
36	33	57
37	34	56
38	35	55
39	36	54
40	36	53
41	37	51
42	38	50
43	39	49
44	40	48
45	41	48
46	42	47
47	42	46
48	44	45
49	45	45
50	46	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	63	24
72	64	23
73	65	22
74	66	22
75	66	21
76	68	20
77	68	19
78	70	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	75	12
86	76	11
87	77	10
88	78	9
89	78	8
90	79	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
